Count_nuclei,FileName_images,ImageNumber
627.0,"B10_-1_1_1_Stitched[DAPI 377,447]_001.tif",1
426.0,"B11_-1_1_1_Stitched[DAPI 377,447]_001.tif",2
19598.0,"B2_-1_1_1_Stitched[DAPI 377,447]_001.tif",3
20125.0,"B3_-1_1_1_Stitched[DAPI 377,447]_001.tif",4
20295.0,"B4_-1_1_1_Stitched[DAPI 377,447]_001.tif",5
19471.0,"B5_-1_1_1_Stitched[DAPI 377,447]_001.tif",6
16419.0,"B6_-1_1_1_Stitched[DAPI 377,447]_001.tif",7
13005.0,"B7_-1_1_1_Stitched[DAPI 377,447]_001.tif",8
2827.0,"B8_-1_1_1_Stitched[DAPI 377,447]_001.tif",9
1017.0,"B9_-1_1_1_Stitched[DAPI 377,447]_001.tif",10
601.0,"C10_-1_1_1_Stitched[DAPI 377,447]_001.tif",11
520.0,"C11_-1_1_1_Stitched[DAPI 377,447]_001.tif",12
19618.0,"C2_-1_1_1_Stitched[DAPI 377,447]_001.tif",13
20331.0,"C3_-1_1_1_Stitched[DAPI 377,447]_001.tif",14
19956.0,"C4_-1_1_1_Stitched[DAPI 377,447]_001.tif",15
20604.0,"C5_-1_1_1_Stitched[DAPI 377,447]_001.tif",16
18444.0,"C6_-1_1_1_Stitched[DAPI 377,447]_001.tif",17
11948.0,"C7_-1_1_1_Stitched[DAPI 377,447]_001.tif",18
3194.0,"C8_-1_1_1_Stitched[DAPI 377,447]_001.tif",19
1060.0,"C9_-1_1_1_Stitched[DAPI 377,447]_001.tif",20
713.0,"D10_-1_1_1_Stitched[DAPI 377,447]_001.tif",21
480.0,"D11_-1_1_1_Stitched[DAPI 377,447]_001.tif",22
19710.0,"D2_-1_1_1_Stitched[DAPI 377,447]_001.tif",23
19564.0,"D3_-1_1_1_Stitched[DAPI 377,447]_001.tif",24
20148.0,"D4_-1_1_1_Stitched[DAPI 377,447]_001.tif",25
20354.0,"D5_-1_1_1_Stitched[DAPI 377,447]_001.tif",26
18267.0,"D6_-1_1_1_Stitched[DAPI 377,447]_001.tif",27
13464.0,"D7_-1_1_1_Stitched[DAPI 377,447]_001.tif",28
4203.0,"D8_-1_1_1_Stitched[DAPI 377,447]_001.tif",29
996.0,"D9_-1_1_1_Stitched[DAPI 377,447]_001.tif",30
432.0,"E10_-1_1_1_Stitched[DAPI 377,447]_001.tif",31
324.0,"E11_-1_1_1_Stitched[DAPI 377,447]_001.tif",32
11946.0,"E2_-1_1_1_Stitched[DAPI 377,447]_001.tif",33
10297.0,"E3_-1_1_1_Stitched[DAPI 377,447]_001.tif",34
9168.0,"E4_-1_1_1_Stitched[DAPI 377,447]_001.tif",35
5652.0,"E5_-1_1_1_Stitched[DAPI 377,447]_001.tif",36
1831.0,"E6_-1_1_1_Stitched[DAPI 377,447]_001.tif",37
1227.0,"E7_-1_1_1_Stitched[DAPI 377,447]_001.tif",38
739.0,"E8_-1_1_1_Stitched[DAPI 377,447]_001.tif",39
636.0,"E9_-1_1_1_Stitched[DAPI 377,447]_001.tif",40
415.0,"F10_-1_1_1_Stitched[DAPI 377,447]_001.tif",41
311.0,"F11_-1_1_1_Stitched[DAPI 377,447]_001.tif",42
12321.0,"F2_-1_1_1_Stitched[DAPI 377,447]_001.tif",43
11335.0,"F3_-1_1_1_Stitched[DAPI 377,447]_001.tif",44
8532.0,"F4_-1_1_1_Stitched[DAPI 377,447]_001.tif",45
6034.0,"F5_-1_1_1_Stitched[DAPI 377,447]_001.tif",46
2602.0,"F6_-1_1_1_Stitched[DAPI 377,447]_001.tif",47
1368.0,"F7_-1_1_1_Stitched[DAPI 377,447]_001.tif",48
884.0,"F8_-1_1_1_Stitched[DAPI 377,447]_001.tif",49
556.0,"F9_-1_1_1_Stitched[DAPI 377,447]_001.tif",50
386.0,"G10_-1_1_1_Stitched[DAPI 377,447]_001.tif",51
236.0,"G11_-1_1_1_Stitched[DAPI 377,447]_001.tif",52
12692.0,"G2_-1_1_1_Stitched[DAPI 377,447]_001.tif",53
12097.0,"G3_-1_1_1_Stitched[DAPI 377,447]_001.tif",54
9380.0,"G4_-1_1_1_Stitched[DAPI 377,447]_001.tif",55
7189.0,"G5_-1_1_1_Stitched[DAPI 377,447]_001.tif",56
3047.0,"G6_-1_1_1_Stitched[DAPI 377,447]_001.tif",57
1535.0,"G7_-1_1_1_Stitched[DAPI 377,447]_001.tif",58
841.0,"G8_-1_1_1_Stitched[DAPI 377,447]_001.tif",59
459.0,"G9_-1_1_1_Stitched[DAPI 377,447]_001.tif",60
