Well,Mean,Standard Deviation,Normalized Mean,Row Drug Concentration,Column Drug Concentration
B2,5531.666666666667,223.3390546530842,1.0,0.0,0.0
B3,5356.0,517.0870332932359,0.9682434468213317,0.0,3.05176e-09
B4,4981.333333333333,353.74755593973134,0.9005122024706236,0.0,1.2207e-08
B5,4270.333333333333,1037.762175709509,0.771979511901175,0.0,4.88281e-08
B6,3612.0,1356.743527716274,0.6529677613739078,0.0,1.95313e-07
B7,2460.0,1001.2936632177395,0.44471226272973785,0.0,7.8125e-07
B8,1310.0,347.3571648893974,0.23681831877071405,0.0,3.125e-06
B9,789.0,123.01625908797584,0.14263332329014763,0.0,1.25e-05
B10,538.3333333333334,196.16659586518122,0.09731846941849955,0.0,5e-05
B11,396.6666666666667,131.1957824525367,0.07170834588731545,0.0,0.0002
C2,5453.333333333333,262.2295432123035,0.9858391081651099,1.23457e-08,0.0
C3,5254.333333333333,418.2252184330033,0.9498644169930701,1.23457e-08,3.05176e-09
C4,5854.333333333333,119.14836689327024,1.0583308225369086,1.23457e-08,1.2207e-08
C5,4744.0,232.57901883016018,0.8576077131666164,1.23457e-08,4.88281e-08
C6,4044.3333333333335,177.3649721149397,0.7311238324796625,1.23457e-08,1.95313e-07
C7,2860.0,158.7671250605742,0.5170231997589635,1.23457e-08,7.8125e-07
C8,1432.6666666666667,135.90560449566948,0.25899367279300994,1.23457e-08,3.125e-06
C9,807.6666666666666,103.10350786143667,0.14600783368484482,1.23457e-08,1.25e-05
C10,561.3333333333334,145.74063720642002,0.10147634829768003,1.23457e-08,5e-05
C11,407.6666666666667,133.42538489108185,0.07369689665561917,1.23457e-08,0.0002
D2,5392.666666666667,228.1432298652172,0.9748719493823441,3.7037e-08,0.0
D3,5530.0,597.6989208623352,0.9996987044290448,3.7037e-08,3.05176e-09
D4,5538.666666666667,194.5798893342612,1.0012654413980115,3.7037e-08,1.2207e-08
D5,4195.666666666667,1271.0032782543612,0.7584814703223862,3.7037e-08,4.88281e-08
D6,4798.333333333333,476.29227721361735,0.8674299487797529,3.7037e-08,1.95313e-07
D7,2763.6666666666665,221.82500610466198,0.4996083157577583,3.7037e-08,7.8125e-07
D8,1601.0,81.0740402348372,0.2894245254594757,3.7037e-08,3.125e-06
D9,854.6666666666666,25.006665778014735,0.15450436878577883,3.7037e-08,1.25e-05
D10,553.3333333333334,132.92980603812427,0.10003012955709552,3.7037e-08,5e-05
D11,367.0,23.811761799581316,0.06634528472431454,3.7037e-08,0.0002
E2,4977.0,446.6083295237562,0.8997288339861403,1.11111e-07,0.0
E3,5205.333333333333,224.57589659919722,0.94100632720699,1.11111e-07,3.05176e-09
E4,5418.0,512.8635296060737,0.9794516420608617,1.11111e-07,1.2207e-08
E5,4663.0,517.1856533199659,0.8429647484181982,1.11111e-07,4.88281e-08
E6,4716.333333333333,461.5260917145783,0.8526062066887615,1.11111e-07,1.95313e-07
E7,2874.6666666666665,384.3817546831969,0.5196746007833685,1.11111e-07,7.8125e-07
E8,1465.0,169.99705879808627,0.264838806869539,1.11111e-07,3.125e-06
E9,714.0,74.50503338701353,0.12907502259716783,1.11111e-07,1.25e-05
E10,506.3333333333333,129.7857208375919,0.09153359445616148,1.11111e-07,5e-05
E11,319.0,132.40845894428347,0.05766797228080747,1.11111e-07,0.0002
F2,5303.0,499.7929571332513,0.9586622476649592,3.33333e-07,0.0
F3,5592.0,204.5800576791394,1.0109068996685748,3.33333e-07,3.05176e-09
F4,5538.333333333333,176.33018270657277,1.0012051822838204,3.33333e-07,1.2207e-08
F5,4716.666666666667,498.00133868628643,0.8526664658029527,3.33333e-07,4.88281e-08
F6,4279.333333333333,408.73626378550426,0.7736065079843325,3.33333e-07,1.95313e-07
F7,3170.6666666666665,402.8701196829238,0.5731846941849954,3.33333e-07,7.8125e-07
F8,1554.6666666666667,151.9945174449833,0.28104850858692376,3.33333e-07,3.125e-06
F9,830.0,120.57777573002414,0.15004519433564326,3.33333e-07,1.25e-05
F10,537.3333333333334,79.66387721755284,0.09713769207592649,3.33333e-07,5e-05
F11,363.3333333333333,94.07089525104634,0.06568243446821331,3.33333e-07,0.0002
G2,5216.666666666667,546.6455280465883,0.9430551370894847,1e-06,0.0
G3,5166.666666666667,643.7424433213437,0.9340162699608315,1e-06,3.05176e-09
G4,5486.333333333333,369.72196760989647,0.991804760470021,1e-06,1.2207e-08
G5,5028.333333333333,201.38603063105774,0.9090087375715576,1e-06,4.88281e-08
G6,4215.333333333333,315.6728264094541,0.7620367580596564,1e-06,1.95313e-07
G7,2913.0,572.1782938909864,0.526604398915336,1e-06,7.8125e-07
G8,1511.3333333333333,155.13005296632028,0.27321482374209094,1e-06,3.125e-06
G9,815.0,101.72511980823616,0.14733353419704728,1e-06,1.25e-05
G10,517.6666666666666,126.47661180365851,0.09358240433865621,1e-06,5e-05
G11,345.0,131.67004215082488,0.062368183187707135,1e-06,0.0002
